id,smiles,activity_remaining
EX0080,Cc1ccc(C(=O)Nc2nc3nccc(=O)n3[nH]2)cc1,65.18
EX0081,CCc1ccc(C(=O)Nc2nc3nccc(=O)n3[nH]2)cc1,86.21
EX0082,O=C(Nc1nc2nccc(=O)n2[nH]1)c1ccc(F)cc1,83.12
EX0083,O=C(Nc1nc2nccc(=O)n2[nH]1)c1ccc(Cl)cc1,61.1
EX0084,O=C(Nc1nc2nccc(=O)n2[nH]1)c1ccc(Br)cc1,94.37
EX0085,O=C(Nc1nc2nccc(=O)n2[nH]1)c1ccc(O)cc1,98.85
EX0086,COc1ccc(C(=O)Nc2nc3nccc(=O)n3[nH]2)cc1,89.27
EX0087,CCOc1ccc(C(=O)Nc2nc3nccc(=O)n3[nH]2)cc1,72.62
EX0088,Nc1ccc(C(=O)Nc2nc3nccc(=O)n3[nH]2)cc1,66.22
EX0089,O=C(Nc1nc2nccc(=O)n2[nH]1)c1ccc(C(F)(F)F)cc1,84.5
EX0090,O=C(Nc1nc2nccc(=O)n2[nH]1)c1ccc(S)cc1,73.57
EX0091,CSc1ccc(C(=O)Nc2nc3nccc(=O)n3[nH]2)cc1,89.75
EX0092,O=C(Nc1nc2nccc(=O)n2[nH]1)c1ccc(CO)cc1,78.59
EX0093,N#Cc1ccc(C(=O)Nc2nc3nccc(=O)n3[nH]2)cc1,87.04
EX0094,CC(C)c1ccc(C(=O)Nc2nc3nccc(=O)n3[nH]2)cc1,78.52
EX0095,CN(C)c1ccc(C(=O)Nc2nc3nccc(=O)n3[nH]2)cc1,82.37
EX0096,O=C(Nc1nc2nccc(=O)n2[nH]1)c1ccc(CCO)cc1,74.72
EX0097,O=C(Nc1nc2nccc(=O)n2[nH]1)c1ccc(OCCO)cc1,92.54
EX0098,O=C(Nc1nc2nccc(=O)n2[nH]1)c1ccccc1,81.1
EX0099,NCc1ccc(C(=O)Nc2nc3nccc(=O)n3[nH]2)cc1,80.72
EX0100,Cc1ccc(-c2cc(C(=O)NCCn3cnc4ccccc43)n[nH]2)cc1,88.51
EX0101,CCc1ccc(-c2cc(C(=O)NCCn3cnc4ccccc43)n[nH]2)cc1,51.27
EX0102,O=C(NCCn1cnc2ccccc21)c1cc(-c2ccc(F)cc2)[nH]n1,53.82
EX0103,O=C(NCCn1cnc2ccccc21)c1cc(-c2ccc(Cl)cc2)[nH]n1,78.46
EX0104,O=C(NCCn1cnc2ccccc21)c1cc(-c2ccc(Br)cc2)[nH]n1,54.9
EX0105,O=C(NCCn1cnc2ccccc21)c1cc(-c2ccc(O)cc2)[nH]n1,89.18
EX0106,COc1ccc(-c2cc(C(=O)NCCn3cnc4ccccc43)n[nH]2)cc1,61.55
EX0107,CCOc1ccc(-c2cc(C(=O)NCCn3cnc4ccccc43)n[nH]2)cc1,56.18
EX0108,Nc1ccc(-c2cc(C(=O)NCCn3cnc4ccccc43)n[nH]2)cc1,88.95
EX0109,O=C(NCCn1cnc2ccccc21)c1cc(-c2ccc(C(F)(F)F)cc2)[nH]n1,78.99
EX0110,O=C(NCCn1cnc2ccccc21)c1cc(-c2ccc(S)cc2)[nH]n1,88.34
EX0111,CSc1ccc(-c2cc(C(=O)NCCn3cnc4ccccc43)n[nH]2)cc1,76.07
EX0112,O=C(NCCn1cnc2ccccc21)c1cc(-c2ccc(CO)cc2)[nH]n1,56.63
EX0113,N#Cc1ccc(-c2cc(C(=O)NCCn3cnc4ccccc43)n[nH]2)cc1,87.11
EX0114,CC(C)c1ccc(-c2cc(C(=O)NCCn3cnc4ccccc43)n[nH]2)cc1,61.45
EX0115,CN(C)c1ccc(-c2cc(C(=O)NCCn3cnc4ccccc43)n[nH]2)cc1,73.23
EX0116,O=C(NCCn1cnc2ccccc21)c1cc(-c2ccc(CCO)cc2)[nH]n1,74.82
EX0117,O=C(NCCn1cnc2ccccc21)c1cc(-c2ccc(OCCO)cc2)[nH]n1,60.99
EX0118,O=C(NCCn1cnc2ccccc21)c1cc(-c2ccccc2)[nH]n1,76.25
EX0119,NCc1ccc(-c2cc(C(=O)NCCn3cnc4ccccc43)n[nH]2)cc1,76.24
